City,2016_Pop,2017_Pop,Pop_Change,Percent_Change,State
"Berkeley, California",121672,122324,652,0.5,California
"Gainesville, Florida",131546,132249,703,0.5,Florida
"Redding, California",91308,91794,486,0.5,California
"Alpharetta, Georgia",65451,65799,348,0.5,Georgia
"Eau Claire, Wisconsin",68226,68587,361,0.5,Wisconsin
"Scranton, Pennsylvania",77199,77605,406,0.5,Pennsylvania
"Broken Arrow, Oklahoma",107737,108303,566,0.5,Oklahoma
"Wyoming, Michigan",75542,75938,396,0.5,Michigan
"Deerfield Beach, Florida",80151,80571,420,0.5,Florida
"Springfield, Ohio",58902,59208,306,0.5,Ohio
"Janesville, Wisconsin",64029,64359,330,0.5,Wisconsin
"Wichita Falls, Texas",104211,104747,536,0.5,Texas
"Kansas City, Kansas",152159,152938,779,0.5,Kansas
"Kenosha, Wisconsin",99371,99877,506,0.5,Wisconsin
"Allentown, Pennsylvania",120670,121283,613,0.5,Pennsylvania
"Harrisonburg, Virginia",53943,54215,272,0.5,Virginia
"Redlands, California",71196,71554,358,0.5,California
"Fremont, California",233801,234962,1161,0.5,California
"Eden Prairie, Minnesota",64082,64400,318,0.5,Minnesota
"Eagan, Minnesota",66302,66627,325,0.5,Minnesota
"Sunrise, Florida",93873,94323,450,0.5,Florida
"Owensboro, Kentucky",59121,59404,283,0.5,Kentucky
"Margate, Florida",58152,58430,278,0.5,Florida
"Valdosta, Georgia",55819,56085,266,0.5,Georgia
"Concord, California",129172,129783,611,0.5,California
"Baytown, Texas",76443,76804,361,0.5,Texas
"Nashua, New Hampshire",87929,88341,412,0.5,New Hampshire
"Los Angeles, California",3981116,3999759,18643,0.5,California
"Shawnee, Kansas",65210,65513,303,0.5,Kansas
"Johns Creek, Georgia",83965,84350,385,0.5,Georgia
"Petaluma, California",60593,60870,277,0.5,California
"San Bernardino, California",216018,216995,977,0.5,California
"Lauderhill, Florida",71649,71970,321,0.4,Florida
"Provo, Utah",116822,117335,513,0.4,Utah
"Paterson, New Jersey",148031,148678,647,0.4,New Jersey
"Hoover, Alabama",84551,84920,369,0.4,Alabama
"Galveston, Texas",50279,50497,218,0.4,Texas
"Des Moines, Iowa",216582,217521,939,0.4,Iowa
"Huntington Beach, California",201004,201874,870,0.4,California
"Fort Lauderdale, Florida",179308,180072,764,0.4,Florida
"Sugar Land, Texas",88114,88485,371,0.4,Texas
"Nashville-Davidson metropolitan government (balance), Tennessee",664762,667560,2798,0.4,Tennessee
"Gulfport, Mississippi",71523,71822,299,0.4,Mississippi
"Springfield, Missouri",166681,167376,695,0.4,Missouri
"Fort Smith, Arkansas",87675,88037,362,0.4,Arkansas
"Oceanside, California",175473,176193,720,0.4,California
"Santee, California",57876,58113,237,0.4,California
"El Paso, Texas",680797,683577,2780,0.4,Texas
"Manchester, New Hampshire",110747,111196,449,0.4,New Hampshire
"Antioch, California",111224,111674,450,0.4,California
"Bethlehem, Pennsylvania",75402,75707,305,0.4,Pennsylvania
"West New York town, New Jersey",54014,54227,213,0.4,New Jersey
"Arcadia, California",58570,58799,229,0.4,California
"Grand Forks, North Dakota",56834,57056,222,0.4,North Dakota
"Trenton, New Jersey",84635,84964,329,0.4,New Jersey
"Philadelphia, Pennsylvania",1574765,1580863,6098,0.4,Pennsylvania
"Bartlett, Tennessee",58878,59102,224,0.4,Tennessee
"Youngstown, Ohio",64360,64604,244,0.4,Ohio
"Rialto, California",103171,103562,391,0.4,California
"Glendora, California",52250,52445,195,0.4,California
"West Jordan, Utah",113484,113905,421,0.4,Utah
"Green Bay, Wisconsin",104728,105116,388,0.4,Wisconsin
"Plainfield, New Jersey",51140,51327,187,0.4,New Jersey
"Colton, California",54632,54828,196,0.4,California
"Houston, Texas",2304482,2312717,8235,0.4,Texas
"Omaha, Nebraska",465233,466893,1660,0.4,Nebraska
"Ogden, Utah",86725,87031,306,0.4,Utah
"Aliso Viejo, California",51490,51671,181,0.4,California
"San Buenaventura (Ventura), California",110404,110790,386,0.3,California
"Watsonville, California",53910,54098,188,0.3,California
"Peabody, Massachusetts",52804,52987,183,0.3,Massachusetts
"Santa Clara, California",126697,127134,437,0.3,California
"Bloomington, Minnesota",85572,85866,294,0.3,Minnesota
"Irving, Texas",239573,240373,800,0.3,Texas
"National City, California",61160,61363,203,0.3,California
"Naperville, Illinois",147194,147682,488,0.3,Illinois
"San Jose, California",1031942,1035317,3375,0.3,California
"Coon Rapids, Minnesota",62452,62656,204,0.3,Minnesota
"Union City, New Jersey",70167,70387,220,0.3,New Jersey
"Brockton, Massachusetts",95373,95672,299,0.3,Massachusetts
"Somerville, Massachusetts",81106,81360,254,0.3,Massachusetts
"Kokomo, Indiana",57657,57836,179,0.3,Indiana
"Brownsville, Texas",182736,183299,563,0.3,Texas
"Worcester, Massachusetts",185119,185677,558,0.3,Massachusetts
"Lawrence, Massachusetts",79922,80162,240,0.3,Massachusetts
"Simi Valley, California",126518,126878,360,0.3,California
"Newton, Massachusetts",88742,88994,252,0.3,Massachusetts
"Terre Haute, Indiana",60602,60774,172,0.3,Indiana
"Victorville, California",122096,122441,345,0.3,California
"Appleton, Wisconsin",74447,74653,206,0.3,Wisconsin
"Bowie, Maryland",58699,58859,160,0.3,Maryland
"Newark, New Jersey",284386,285154,768,0.3,New Jersey
"High Point, North Carolina",111214,111513,299,0.3,North Carolina
"Burnsville, Minnesota",61278,61439,161,0.3,Minnesota
"Oshkosh, Wisconsin",66492,66665,173,0.3,Wisconsin
"Pasadena, California",142279,142647,368,0.3,California
"Elizabeth, New Jersey",129882,130215,333,0.3,New Jersey
"Santa Clarita, California",210349,210888,539,0.3,California
"Perth Amboy, New Jersey",52690,52823,133,0.3,New Jersey
"Bellevue, Nebraska",53290,53424,134,0.3,Nebraska
"Missouri City, Texas",74312,74497,185,0.2,Texas
"Oak Park village, Illinois",52132,52261,129,0.2,Illinois
"Reading, Pennsylvania",88207,88423,216,0.2,Pennsylvania
"Providence, Rhode Island",179954,180393,439,0.2,Rhode Island
"Abilene, Texas",121590,121885,295,0.2,Texas
"Taunton, Massachusetts",57002,57139,137,0.2,Massachusetts
"Johnson City, Tennessee",66233,66391,158,0.2,Tennessee
"Anaheim, California",351661,352497,836,0.2,California
"Renton, Washington",101142,101379,237,0.2,Washington
"Burbank, California",104599,104834,235,0.2,California
"Sterling Heights, Michigan",132334,132631,297,0.2,Michigan
"Clifton, New Jersey",86414,86607,193,0.2,New Jersey
"Lorain, Ohio",63700,63841,141,0.2,Ohio
"South Bend, Indiana",102022,102245,223,0.2,Indiana
"Richmond, California",109802,110040,238,0.2,California
"Yakima, Washington",93476,93667,191,0.2,Washington
"Santa Barbara, California",91916,92101,185,0.2,California
"Roswell, Georgia",94601,94786,185,0.2,Georgia
"Milpitas, California",77957,78106,149,0.2,California
"New Haven, Connecticut",130768,131014,246,0.2,Connecticut
"Pawtucket, Rhode Island",71867,72001,134,0.2,Rhode Island
"Albuquerque, New Mexico",557509,558545,1036,0.2,New Mexico
"Harlingen, Texas",65355,65467,112,0.2,Texas
"Cranston, Rhode Island",81065,81202,137,0.2,Rhode Island
"Escondido, California",151717,151969,252,0.2,California
"Bayonne, New Jersey",67076,67186,110,0.2,New Jersey
"San Angelo, Texas",99956,100119,163,0.2,Texas
"Beaumont, Texas",118921,119114,193,0.2,Texas
"San Ramon, California",75810,75931,121,0.2,California
"Pomona, California",152697,152939,242,0.2,California
"Hoboken, New Jersey",55044,55131,87,0.2,New Jersey
"Little Rock, Arkansas",198307,198606,299,0.2,Arkansas
"Smyrna, Georgia",56600,56685,85,0.2,Georgia
"Billings, Montana",109482,109642,160,0.1,Montana
"Chicopee, Massachusetts",55434,55515,81,0.1,Massachusetts
"Vista, California",101420,101568,148,0.1,California
"Porterville, California",59059,59145,86,0.1,California
"Jackson, Tennessee",66751,66847,96,0.1,Tennessee
"Gardena, California",60138,60224,86,0.1,California
"Yonkers, New York",201738,202019,281,0.1,New York
"Passaic, New Jersey",71148,71247,99,0.1,New Jersey
"San Mateo, California",104603,104748,145,0.1,California
"Marietta, Georgia",60966,61048,82,0.1,Georgia
"Kentwood, Michigan",51679,51747,68,0.1,Michigan
"Hempstead village, New York",55735,55806,71,0.1,New York
"West Haven, Connecticut",54774,54843,69,0.1,Connecticut
"Springfield, Massachusetts",154565,154758,193,0.1,Massachusetts
"Waukesha, Wisconsin",72399,72489,90,0.1,Wisconsin
"Savannah, Georgia",146264,146444,180,0.1,Georgia
"Wichita, Kansas",390116,390591,475,0.1,Kansas
"Quincy, Massachusetts",94053,94166,113,0.1,Massachusetts
"Troy, Michigan",83717,83813,96,0.1,Michigan
"Norwalk, Connecticut",88904,89005,101,0.1,Connecticut
"Grand Island, Nebraska",51332,51390,58,0.1,Nebraska
"La Mesa, California",59955,60021,66,0.1,California
"Manhattan, Kansas",54772,54832,60,0.1,Kansas
"Joliet, Illinois",148300,148462,162,0.1,Illinois
"El Monte, California",115983,116109,126,0.1,California
"Lancaster, Pennsylvania",59646,59708,62,0.1,Pennsylvania
"Royal Oak, Michigan",59051,59112,61,0.1,Michigan
"El Cajon, California",103793,103894,101,0.1,California
"Encinitas, California",63124,63184,60,0.1,California
"Beaverton, Oregon",97422,97514,92,0.1,Oregon
"Roanoke, Virginia",99743,99837,94,0.1,Virginia
"New York, New York",8615426,8622698,7272,0.1,New York
"Dubuque, Iowa",58228,58276,48,0.1,Iowa
"Racine, Wisconsin",77479,77542,63,0.1,Wisconsin
"Fall River, Massachusetts",89355,89420,65,0.1,Massachusetts
"New Orleans, Louisiana",393021,393292,271,0.1,Louisiana
"Akron, Ohio",197711,197846,135,0.1,Ohio
"Revere, Massachusetts",53958,53993,35,0.1,Massachusetts
"Normal town, Illinois",54251,54284,33,0.1,Illinois
"Southfield, Michigan",73165,73208,43,0.1,Michigan
"Buffalo, New York",258463,258612,149,0.1,New York
"Kalamazoo, Michigan",75766,75807,41,0.1,Michigan
"Great Falls, Montana",58845,58876,31,0.1,Montana
"Meriden, Connecticut",59898,59927,29,0.0,Connecticut
"South San Francisco, California",67397,67429,32,0.0,California
"St. Peters, Missouri",57151,57178,27,0.0,Missouri
"Dothan, Alabama",68172,68202,30,0.0,Alabama
"Cheyenne, Wyoming",63601,63624,23,0.0,Wyoming
"Miami Gardens, Florida",113714,113750,36,0.0,Florida
"Palmdale, California",157472,157519,47,0.0,California
"East Orange, New Jersey",65359,65378,19,0.0,New Jersey
"Camden, New Jersey",74513,74532,19,0.0,New Jersey
"Lancaster, California",160289,160316,27,0.0,California
"Westminster, Colorado",112798,112812,14,0.0,Colorado
"Elyria, Ohio",53880,53883,3,0.0,Ohio
"Jacksonville, North Carolina",72444,72447,3,0.0,North Carolina
"Plano, Texas",286132,286143,11,0.0,Texas
"Kenner, Louisiana",67449,67451,2,0.0,Louisiana
"La Crosse, Wisconsin",51836,51834,-2,0.0,Wisconsin
"Warren, Michigan",135030,135022,-8,0.0,Michigan
"Salinas, California",157618,157596,-22,0.0,California
"Portland, Maine",66892,66882,-10,0.0,Maine
"New Brunswick, New Jersey",57082,57073,-9,0.0,New Jersey
"Elkhart, Indiana",52567,52558,-9,0.0,Indiana
"New Bedford, Massachusetts",95143,95120,-23,0.0,Massachusetts
"Alameda, California",79199,79177,-22,0.0,California
"Santa Rosa, California",175320,175269,-51,0.0,California
"Anderson, Indiana",55094,55076,-18,0.0,Indiana
"Thousand Oaks, California",129038,128995,-43,0.0,California
"Daly City, California",107112,107074,-38,0.0,California
"Duluth, Minnesota",86101,86066,-35,0.0,Minnesota
"Corpus Christi, Texas",325763,325605,-158,0.0,Texas
"Independence, Missouri",117365,117306,-59,-0.1,Missouri
"Tustin, California",80540,80498,-42,-0.1,California
"Lawton, Oklahoma",93763,93714,-49,-0.1,Oklahoma
"Elgin, Illinois",112517,112456,-61,-0.1,Illinois
"Rosemead, California",54584,54554,-30,-0.1,California
"Davenport, Iowa",102385,102320,-65,-0.1,Iowa
"Kettering, Ohio",55218,55175,-43,-0.1,Ohio
"Poway, California",50080,50041,-39,-0.1,California
"Federal Way, Washington",96775,96690,-85,-0.1,Washington
"Sunnyvale, California",153797,153656,-141,-0.1,California
"Augusta-Richmond County consolidated government (balance), Georgia",197357,197166,-191,-0.1,Georgia
"Yorba Linda, California",68296,68229,-67,-0.1,California
"Compton, California",97710,97612,-98,-0.1,California
"San Rafael, California",59131,59070,-61,-0.1,California
"Hamilton, Ohio",62157,62092,-65,-0.1,Ohio
"Warwick, Rhode Island",80958,80871,-87,-0.1,Rhode Island
"St. Clair Shores, Michigan",59700,59635,-65,-0.1,Michigan
"Waterbury, Connecticut",108750,108629,-121,-0.1,Connecticut
"Lowell, Massachusetts",111472,111346,-126,-0.1,Massachusetts
"Monterey Park, California",61117,61044,-73,-0.1,California
"Aurora, Illinois",201228,200965,-263,-0.1,Illinois
"Orange, California",140746,140560,-186,-0.1,California
"Utica, New York",60716,60635,-81,-0.1,New York
"Medford, Massachusetts",57876,57797,-79,-0.1,Massachusetts
"Albany, New York",98387,98251,-136,-0.1,New York
"Chicago, Illinois",2720275,2716450,-3825,-0.1,Illinois
"Midwest City, Oklahoma",57392,57308,-84,-0.1,Oklahoma
"Malden, Massachusetts",61336,61246,-90,-0.1,Massachusetts
"Coral Gables, Florida",51171,51095,-76,-0.1,Florida
"Topeka, Kansas",126787,126587,-200,-0.2,Kansas
"Port Arthur, Texas",55587,55498,-89,-0.2,Texas
"Battle Creek, Michigan",51369,51286,-83,-0.2,Michigan
"Farmington Hills, Michigan",81182,81050,-132,-0.2,Michigan
"Danbury, Connecticut",85385,85246,-139,-0.2,Connecticut
"Pontiac, Michigan",59894,59792,-102,-0.2,Michigan
"Paramount, California",55004,54909,-95,-0.2,California
"Memphis, Tennessee",653369,652236,-1133,-0.2,Tennessee
"Whittier, California",86989,86838,-151,-0.2,California
"Council Bluffs, Iowa",62425,62316,-109,-0.2,Iowa
"Mount Vernon, New York",68824,68703,-121,-0.2,New York
"Inglewood, California",110800,110598,-202,-0.2,California
"Bellflower, California",77918,77772,-146,-0.2,California
"Wilmington, Delaware",71244,71106,-138,-0.2,Delaware
"Westland, Michigan",81907,81747,-160,-0.2,Michigan
"New Rochelle, New York",80108,79946,-162,-0.2,New York
"Longview, Texas",81690,81522,-168,-0.2,Texas
"Baldwin Park, California",76566,76402,-164,-0.2,California
"Virginia Beach, Virginia",451404,450435,-969,-0.2,Virginia
"Wheaton, Illinois",53488,53373,-115,-0.2,Illinois
"Norwalk, California",106314,106084,-230,-0.2,California
"Sandy, Utah",96355,96145,-210,-0.2,Utah
"Miami Beach, Florida",92510,92307,-203,-0.2,Florida
"San Clemente, California",65411,65267,-144,-0.2,California
"Macon-Bibb County, Georgia",153006,152663,-343,-0.2,Georgia
"North Little Rock, Arkansas",66066,65911,-155,-0.2,Arkansas
"Huntington Park, California",58962,58822,-140,-0.2,California
"Santa Ana, California",334953,334136,-817,-0.2,California
"Alhambra, California",85615,85396,-219,-0.3,California
"Taylor, Michigan",61435,61276,-159,-0.3,Michigan
"Bristol, Connecticut",60380,60223,-157,-0.3,Connecticut
"Birmingham, Alabama",211263,210710,-553,-0.3,Alabama
"Dayton, Ohio",140743,140371,-372,-0.3,Ohio
"Odessa, Texas",117172,116861,-311,-0.3,Texas
"Westminster, California",91809,91564,-245,-0.3,California
"Livonia, Michigan",94359,94105,-254,-0.3,Michigan
"Carson, California",92986,92735,-251,-0.3,California
"Mesquite, Texas",144343,143949,-394,-0.3,Texas
"Downey, California",113402,113092,-310,-0.3,California
"Lynwood, California",71294,71099,-195,-0.3,California
"South Gate, California",95692,95430,-262,-0.3,California
"Montgomery, Alabama",200066,199518,-548,-0.3,Alabama
"San Leandro, California",90807,90553,-254,-0.3,California
"Novato, California",56139,55980,-159,-0.3,California
"Hawthorne, California",88104,87854,-250,-0.3,California
"Union City, California",75558,75343,-215,-0.3,California
"Diamond Bar, California",56827,56665,-162,-0.3,California
"Torrance, California",147187,146758,-429,-0.3,California
"New Britain, Connecticut",72923,72710,-213,-0.3,Connecticut
"Redondo Beach, California",68109,67908,-201,-0.3,California
"Sioux City, Iowa",82759,82514,-245,-0.3,Iowa
"Bridgeport, Connecticut",147016,146579,-437,-0.3,Connecticut
"Long Beach, California",470852,469450,-1402,-0.3,California
"Columbia, South Carolina",133514,133114,-400,-0.3,South Carolina
"West Covina, California",107935,107598,-337,-0.3,California
"Bloomington, Illinois",78181,77934,-247,-0.3,Illinois
"Rochester, New York",208710,208046,-664,-0.3,New York
"Santa Monica, California",92603,92306,-297,-0.3,California
"North Miami, Florida",62430,62225,-205,-0.3,Florida
"Gresham, Oregon",111420,111053,-367,-0.3,Oregon
"Pico Rivera, California",63732,63522,-210,-0.3,California
"Lakewood, California",81235,80967,-268,-0.3,California
"Pensacola, Florida",52765,52590,-175,-0.3,Florida
"Norfolk, Virginia",245532,244703,-829,-0.3,Virginia
"Buena Park, California",83298,83015,-283,-0.3,California
"Dearborn, Michigan",94819,94491,-328,-0.3,Michigan
"Montebello, California",63415,63192,-223,-0.4,California
"Detroit, Michigan",675480,673104,-2376,-0.4,Michigan
"Placentia, California",52343,52157,-186,-0.4,California
"Evansville, Indiana",119357,118930,-427,-0.4,Indiana
"Arlington Heights village, Illinois",75908,75634,-274,-0.4,Illinois
"Milwaukee, Wisconsin",597508,595351,-2157,-0.4,Wisconsin
"Hartford, Connecticut",123853,123400,-453,-0.4,Connecticut
"Decatur, Alabama",54605,54405,-200,-0.4,Alabama
"Dearborn Heights, Michigan",55965,55758,-207,-0.4,Michigan
"Millcreek, Utah",60416,60192,-224,-0.4,Utah
"Syracuse, New York",143941,143396,-545,-0.4,New York
"Tulsa, Oklahoma",403333,401800,-1533,-0.4,Oklahoma
"St. Joseph, Missouri",76740,76442,-298,-0.4,Missouri
"Cupertino, California",61016,60777,-239,-0.4,California
"Pasadena, Texas",154128,153520,-608,-0.4,Texas
"Fullerton, California",140968,140392,-576,-0.4,California
"Muncie, Indiana",68907,68625,-282,-0.4,Indiana
"Victoria, Texas",67383,67106,-277,-0.4,Texas
"Waterloo, Iowa",67868,67587,-281,-0.4,Iowa
"Urban Honolulu CDP, Hawaii",351859,350395,-1464,-0.4,Hawaii
"Napa, California",80111,79774,-337,-0.4,California
"Vineland, New Jersey",60653,60392,-261,-0.4,New Jersey
"Portsmouth, Virginia",94997,94572,-425,-0.4,Virginia
"Lafayette, Louisiana",127429,126848,-581,-0.5,Louisiana
"Palo Alto, California",67490,67178,-312,-0.5,California
"Hampton, Virginia",135332,134669,-663,-0.5,Virginia
"West Valley City, Utah",136846,136170,-676,-0.5,Utah
"Fayetteville, North Carolina",210934,209889,-1045,-0.5,North Carolina
"Lakewood, Ohio",50500,50249,-251,-0.5,Ohio
"Cleveland, Ohio",387451,385525,-1926,-0.5,Ohio
"Orland Park village, Illinois",59059,58765,-294,-0.5,Illinois
"Rockford, Illinois",147800,147051,-749,-0.5,Illinois
"Florissant, Missouri",51712,51443,-269,-0.5,Missouri
"Mission Viejo, California",96519,96016,-503,-0.5,California
"Parma, Ohio",79591,79167,-424,-0.5,Ohio
"Canton, Ohio",71294,70909,-385,-0.5,Ohio
"Des Plaines, Illinois",58510,58193,-317,-0.5,Illinois
"Flint, Michigan",96985,96448,-537,-0.6,Michigan
"Newport News, Virginia",180388,179388,-1000,-0.6,Virginia
"Waukegan, Illinois",88219,87729,-490,-0.6,Illinois
"Garden Grove, California",175206,174226,-980,-0.6,California
"Fountain Valley, California",56631,56313,-318,-0.6,California
"Palatine village, Illinois",69047,68644,-403,-0.6,Illinois
"Tinley Park village, Illinois",57006,56668,-338,-0.6,Illinois
"Hoffman Estates village, Illinois",51895,51567,-328,-0.6,Illinois
"Boulder, Colorado",107844,107125,-719,-0.7,Colorado
"Schaumburg village, Illinois",74692,74184,-508,-0.7,Illinois
"Mobile, Alabama",191590,190265,-1325,-0.7,Alabama
"Springfield, Illinois",115734,114868,-866,-0.7,Illinois
"West Allis, Wisconsin",60392,59934,-458,-0.8,Wisconsin
"Toledo, Ohio",278606,276491,-2115,-0.8,Ohio
"Taylorsville, Utah",60452,59992,-460,-0.8,Utah
"Gary, Indiana",76595,76008,-587,-0.8,Indiana
"Evanston, Illinois",75338,74756,-582,-0.8,Illinois
"Oak Lawn village, Illinois",56524,56087,-437,-0.8,Illinois
"Newport Beach, California",86842,86160,-682,-0.8,California
"Hammond, Indiana",77230,76618,-612,-0.8,Indiana
"Mount Prospect village, Illinois",54368,53930,-438,-0.8,Illinois
"Rocky Mount, North Carolina",54979,54523,-456,-0.8,North Carolina
"Skokie village, Illinois",64529,63978,-551,-0.9,Illinois
"Pittsburgh, Pennsylvania",305017,302407,-2610,-0.9,Pennsylvania
"Baltimore, Maryland",616958,611648,-5310,-0.9,Maryland
"Decatur, Illinois",72805,72174,-631,-0.9,Illinois
"Baton Rouge, Louisiana",227352,225374,-1978,-0.9,Louisiana
"Berwyn, Illinois",56067,55550,-517,-0.9,Illinois
"Cicero town, Illinois",83323,82552,-771,-0.9,Illinois
"Erie, Pennsylvania",98289,97369,-920,-0.9,Pennsylvania
"Waltham, Massachusetts",63052,62442,-610,-1.0,Massachusetts
"Anchorage municipality, Alaska",297376,294356,-3020,-1.0,Alaska
"Albany, Georgia",73953,73179,-774,-1.0,Georgia
"Columbus, Georgia",196307,194058,-2249,-1.1,Georgia
"Jackson, Mississippi",169005,166965,-2040,-1.2,Mississippi
"Shreveport, Louisiana",194394,192036,-2358,-1.2,Louisiana
"Peoria, Illinois",114351,112883,-1468,-1.3,Illinois
"Enid, Oklahoma",50785,50122,-663,-1.3,Oklahoma
"St. Louis, Missouri",313144,308626,-4518,-1.4,Missouri
"Casper, Wyoming",58906,57814,-1092,-1.9,Wyoming
